day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-09-24,0.509950926694179,0.4953100228401346,1.7315230070006056,0.020703774554513464,2.0
2025-09-25,-0.05564552630016974,1.0,-0.7286167394050019,1.0,2.0
2025-09-26,0.8219765265616583,1.0799545606773953,-0.16245747856526485,0.34760069969369184,2.0
2025-09-27,-0.42348325223488115,2.1397282463985383,-0.5154318642909353,0.19440824913464064,2.0
2025-09-28,-0.995808123046147,1.0,-0.408248290463863,1.0,1.0
2025-09-30,0.04705489803534475,1.0,-0.3779644730092272,1.0,1.0
2025-10-01,0.5887963292058666,0.9277750481984426,0.561939863042984,0.8529447960178027,5.0
2025-10-02,-2.49691257763337,1.0,-0.6528992555726435,1.0,1.0
2025-10-03,0.2980853690755741,0.31818679771152875,0.2610085554664287,1.737920972484924,3.0
2025-10-04,-0.3834162377323592,1.4287550855541042,-0.6639908246756197,0.3712457419872011,4.0
2025-10-05,-0.05376886980686859,0.6364482223181451,-0.18635420281394594,0.7150720579871865,5.0
2025-10-09,0.48,1.0,0.0,1.0,1.0
2025-10-10,0.6200469488729087,0.7043179335684419,0.8242470761923227,0.8132458884640261,6.0
2025-10-11,0.400477222421864,0.9892353305294482,1.011099003441189,0.8728981842382213,7.0
2025-10-12,0.1006348312471943,0.4629724105902258,0.5361125442810792,0.8368466022191022,6.0
2025-10-13,-0.8857404695268406,1.113118201662393,0.35347595044624364,0.9614395657950866,3.0
2025-10-15,-0.113953891021382,1.0,-0.408248290463863,1.0,1.0
2025-10-16,0.8184981580714034,1.0,-0.3779644730092272,1.0,1.0
2025-10-17,0.4071417915387065,1.0,-0.408248290463863,1.0,1.0
2025-10-22,-0.964578856876938,1.0,-0.5,1.0,1.0
2025-10-23,-0.043254811925107106,1.0157656962642232,-0.25,0.3535533905932738,2.0
2025-10-24,0.8184981580714034,1.0,-0.3779644730092272,1.0,1.0
2025-10-25,0.09042398023777612,1.0,-0.7286167394050019,1.0,1.0
2025-10-26,0.8630442403635763,1.0,-0.5,1.0,1.0
2025-10-27,0.1510245919834392,0.29323383181897505,-0.697639920700341,0.05166207011039808,4.0
2025-10-28,0.4362535118915273,0.7253860634649599,-0.7662082692935628,0.11530247384993603,5.0
2025-10-29,-1.2650474591740812,0.6312832543334572,-0.6050073836735355,0.32108716350212774,3.0
2025-10-31,0.14152233517962326,0.18315242068905307,0.9449111825230678,1.8708286933869704,2.0
2025-11-06,-0.01301657310194726,0.38228562845598224,-0.1889822365046136,0.26726124191242434,2.0
2025-11-10,-0.6507478433026022,1.1677837990988733,-0.3711902929140192,0.5249423464602477,2.0
2025-11-12,-0.24500711586730414,0.8165979183546553,-0.8509778694188892,0.26933122111575775,4.0
2025-11-13,-0.36151496124390453,0.42913916653862133,-0.3779644730092272,0.0,2.0
2025-11-14,-0.7071067811865476,1.0,,1.0,1.0
2025-11-16,-0.39605416885348743,1.0,-0.7423805858280385,1.0,2.0
2025-11-18,-1.168599363439557,1.0,-0.6528992555726435,1.0,1.0
