,summary,Adaptation,Impacts,Hazard,Mitigation,Causes,word
viel+e betrof…,2.6803685040299197,-0.17326281940862445,-0.0919924535481327,0.04383849775926779,-0.17672161325857014,0.5072539499381077,viel+e betrof…
+1745,2.6716515403515744,-0.170005368459628,-0.090387362487712,0.0446252478058089,-0.17346416230957362,0.49836959354426397,+1745
betrof… +1745,2.6716515403515744,-0.170005368459628,-0.090387362487712,0.0446252478058089,-0.17346416230957362,0.49836959354426397,betrof… +1745
+1745 char+s,2.6661733382826,-0.16795277058805688,-0.08940866091354249,0.04506646231321109,-0.1714115644380025,0.4928364961033892,+1745 char+s
+1587,3.112943519560259,-0.3228772807180836,-0.24028580980548325,0.33953736161676945,-0.32633607456802916,0.4450873611861539,+1587
erd+rutsch+e +1587,3.112943519560259,-0.3228772807180836,-0.24028580980548325,0.33953736161676945,-0.32633607456802916,0.4450873611861539,erd+rutsch+e +1587
+1587 chars,3.069960489657709,-0.30897322453257625,-0.22638175361997606,0.3198185824112101,-0.3124320183825219,0.4451874860452955,+1587 chars
wetter unwetter,4.234475726873181,-0.630568057967974,0.37690308369157777,-0.03047260813667572,-0.6340268518179196,0.5150477165228132,wetter unwetter
unwetter mexiko,5.254243312146759,-0.8463445329127891,0.37851706597347823,0.13481868401490749,-0.849803326762735,0.4979536194196887,unwetter mexiko
mexiko mehr,4.699425001247539,-0.73474869390637,0.4856003397145718,-0.11104479574839397,-0.7382074877563158,0.49821386908215487,mexiko mehr
tot+e viel+e,5.333604286249722,-0.8613357687876547,0.5787734309416791,-0.20932492653565682,-0.8647945626376004,0.513873351646592,tot+e viel+e
Vermisste,5.783688663086881,-0.9423501889752105,0.6448342604236642,-0.28145496797466957,-0.9458089828251562,0.49248803405661196,Vermisste
viel+e vermiss+t+e,5.783688663086881,-0.9423501889752105,0.6448342604236642,-0.28145496797466957,-0.9458089828251562,0.49248803405661196,viel+e vermiss+t+e
vermiss+t+e nach,5.176406953304035,-0.8314197100693319,0.4239225996945137,-0.15479556729759994,-0.8348785039192776,0.7435355070033862,vermiss+t+e nach
nach heftig+en,6.12032907982853,-0.9989243991270502,0.2713974331257253,-0.04994795372531833,-1.0023831929769957,0.9617597516885222,nach heftig+en
Regenfällen,9.303131755309026,-1.417659624189682,-0.10123480006578311,-0.03873393719255725,-1.4211184180396277,1.3741694509597713,Regenfällen
heftig+en regen+fall+en,8.13589186671702,-1.283593900774396,-0.018358282281072957,-0.10402454718520023,-1.2870526946243417,1.3319352152249184,heftig+en regen+fall+en
regen+fall+en mexiko,6.451477155889116,-1.051617653838965,0.28478918345504617,0.2041774758846712,-1.0550764476889107,0.7113084993263967,regen+fall+en mexiko
mexiko tausend+e,6.836604236030113,-1.1095996844728986,0.09805475033564265,0.257748935955413,-1.113058478322844,0.9029741126272016,mexiko tausend+e
Soldaten,7.6106274175609565,-1.2168541477697417,0.055642241378638886,0.34331379429720515,-1.2203129416196874,0.8890173809497958,Soldaten
tausend+e soldat+en,6.601396627580489,-1.0745897697201825,0.09198565825669819,0.2698959839663354,-1.078048563570128,0.8780264607790846,tausend+e soldat+en
Einsatz,6.8731409689808975,-1.114929735309497,0.05109468762531078,0.3023994009252616,-1.1183885291594424,0.8989331507260677,Einsatz
soldat+en einsatz,6.141023556646494,-1.0022999641371553,0.07877616338040531,0.27467567857755987,-1.0057587579871008,0.8481755341253335,soldat+en einsatz
viel+e ort+e,6.228093604177251,-1.0163788162658873,0.07152270347280898,0.3300308839174659,-1.019837610115833,0.7911987808748905,viel+e ort+e
bisher,5.427321419649759,-0.8787542521893257,0.11358835793553936,0.36792584365922815,-0.8822130460392712,0.5863541203285392,bisher
ort+e bisher,4.845967427033881,-0.7654554335872752,0.11424373596032358,0.2980852782686965,-0.7689142274372207,0.6077742932486582,ort+e bisher
erreichbar,4.846662765627873,-0.7655989113804775,0.08684346818046325,0.34839616862124084,-0.7690577052304232,0.5606550978148797,erreichbar
bisher erreich+bar,4.846662765627873,-0.7655989113804775,0.08684346818046325,0.34839616862124084,-0.7690577052304232,0.5606550978148797,bisher erreich+bar
Risiko,4.928138012633326,-0.7822697644840205,0.04084590545510877,0.42481040975636386,-0.7857285583339662,0.49560440241785314,Risiko
erreich+bar risiko,4.928138012633326,-0.7822697644840205,0.04084590545510877,0.42481040975636386,-0.7857285583339662,0.49560440241785314,erreich+bar risiko
weiterer,5.010645439133981,-0.7988732697999668,0.012603578848421448,0.46798358111062643,-0.8023320636499122,0.46034727905470524,weiterer
risiko weit+er+er,5.010645439133981,-0.7988732697999668,0.012603578848421448,0.46798358111062643,-0.8023320636499122,0.46034727905470524,risiko weit+er+er
weit+er+er erd+rutsch+e,5.207372489432213,-0.8373839407410609,-0.03996983429726156,0.5402546167284141,-0.8408427345910067,0.4037208378932222,weit+er+er erd+rutsch+e
erd+rutsch+e überschwemmung+en,7.837043792340346,-1.246170228785661,-0.6123197776389454,0.9137026139580046,-1.2496290226356068,0.2129148917514287,erd+rutsch+e überschwemmung+en
bleibt,8.000493154647264,-0.414381224898189,0.009172187836586125,0.28770839950769,-0.17869012067906223,0.11927105926172069,bleibt
überschwemmung+en bleib+t,4.572432906236601,-0.707353960688169,-0.09630505990994241,0.5439070277452049,-0.7108127545381145,0.3309475406437648,überschwemmung+en bleib+t
hoch,4.395880248489227,-0.6679763279879457,-0.06558749245782228,0.489506539819098,-0.6714351218378912,0.3785131123138471,hoch
bleib+t hoch,4.395880248489227,-0.6679763279879457,-0.06558749245782228,0.489506539819098,-0.6714351218378912,0.3785131123138471,bleib+t hoch
hinzu+füg+en nach,7.829670132428399,-0.22588874040104667,-0.22844646507819227,0.29890625431327694,-0.3763805891013032,0.4663026913658548,hinzu+füg+en nach
un…,2.845203805359271,-0.2329432341773059,-0.00888951636157195,0.07868811798222887,-0.23640202802725158,0.4518441680508614,un…
erd+rutsch+e un…,2.845203805359271,-0.2329432341773059,-0.00888951636157195,0.07868811798222887,-0.23640202802725158,0.4518441680508614,erd+rutsch+e un…
+1463,2.838022814525524,-0.23041615048502592,-0.007980761830896198,0.07787638243212272,-0.23387494433497158,0.4473178767055845,+1463
un… +1463,2.838022814525524,-0.23041615048502592,-0.007980761830896198,0.07787638243212272,-0.23387494433497158,0.4473178767055845,un… +1463
